# {'model': 'gpt2', 'layer': 5, 'hook': 'transformer.h[5].mlp.act', 'm': 3072, 'vocab': 50257, 'device': 'cuda'}
neuron	bos_act	exp_wins	imp_r_wins	imp_i_wins	exp_max	imp_max_all	imp_max_last
437	-0.169486	0	0	0	-0.169169	1.644770	1.644770
438	-0.088282	0	0	0	-0.084395	2.340414	2.340414
439	-0.007611	0	0	0	0.003458	1.212887	1.212887
440	0.218599	0	0	0	0.229011	1.174537	1.174537
441	-0.119313	0	0	0	-0.114973	1.547246	1.547246
442	-0.078892	0	0	0	-0.075307	1.636073	1.636073
443	-0.022946	0	0	0	-0.013590	0.934725	0.934725
444	0.434315	0	0	0	0.455283	2.038212	2.038212
445	0.115907	0	0	0	0.139280	1.330638	1.330638
446	0.286151	0	0	0	0.306962	1.043554	1.043554
447	-0.069508	0	0	0	-0.065809	1.724638	1.724638
448	0.737758	0	0	0	0.800377	1.684263	1.684263
449	-0.027582	0	0	0	-0.010829	0.810792	0.810792
450	-0.005598	0	0	0	-0.004849	1.555384	1.555384
451	0.738831	0	0	0	0.778128	1.663739	1.663739
452	0.074211	0	0	0	0.084010	1.359046	1.359046
453	-0.145927	0	0	0	-0.140330	0.440826	0.440826
454	0.005805	0	0	0	0.014024	1.628685	1.628685
